,Unnamed: 0,location_name,address,lat,lng
2032,2032,Brightwood College - San Diego,"9055 Balboa Avenue, San Diego, CA 92123",32.8217179,-117.1330926
2033,2033,Brightwood College - Chula Vista,"Chula Vista Center, 555 Broadway, Suite 144, Chula Vista, CA 91910-5342",32.6300967,-117.0857199
2034,2034,Brightwood College - Vista,"2022 University Drive, Vista, CA 92083-7736",33.1724977,-117.2206689
2035,2035,Brightwood College - Palm Springs,"2475 East Tahquitz Canyon Way, Palm Springs, CA 92260",33.8222204,-116.5191699
2036,2036,College of Marin,"835 College Ave, Kentfield, CA 94904-2590",37.9561956,-122.5495907
2037,2037,Marinello School of Beauty - Los Angeles,"1241 S. Soto Street Suite #101, Los Angeles, CA 90023",34.0275254,-118.219859
2038,2038,Marinello School of Beauty - El Cajon,"841 Arnele Avenue, El Cajon, CA 92020",32.8033684,-116.9725035
2039,2039,Marinello School of Beauty - Lomita,"2418 Lomita Boulevard, Suite B, Lomita, CA 90717",33.80471530000001,-118.326013
2040,2040,Marinello School of Beauty,"1837 South La Cienega Boulevard, Suite A, Los Angeles, CA 90035",34.0434028,-118.3788518
2041,2041,Marinello School of Beauty - Victorville,"14311 Bear Valley Road, Suite 101, Victorville, CA 92392",34.4682707,-117.3525581
2042,2042,Marinello School of Beauty - Anaheim,"663 North Euclid Street, Anaheim, CA 92801",33.8413116,-117.9430692
2043,2043,Marinello School of Beauty - San Diego,"7550 Miramar Road, Suite #400, San Diego, CA 92126",32.8851013,-117.1530377
2044,2044,Marinello School of Beauty - San Bernardino,"721 West 2nd Street, San Bernardino, CA 92410",34.1012636,-117.3000333
2045,2045,Western Barber Institute,"18442 Sherman Way, Reseda, CA 91335",34.2008189,-118.5350028
2046,2046,Marinello School of Beauty - Inglewood,"240 S Market St, Inglewood, CA 90301",33.9609385,-118.3515595
2047,2047,Marinello School of Beauty - West Covina,"166 Plaza Drive, West Covina, CA 91790",34.0718444,-117.9348116
2048,2048,Marinello School of Beauty - Whittier,"6538 Greenleaf Ave, Whittier, CA 90601",33.9815856,-118.0370427
2049,2049,Marinello School of Beauty - Ontario,"940 North Mountain Avenue, Ontario, CA 91762",34.07533859999999,-117.6685835
2050,2050,Marinello School of Beauty - North Hollywood,"1125 East Los Angeles Avenue, Simi Valley, CA 93065",34.2736574,-118.7769603
