,location_name,address
6532,Saint Xavier University at Harlem High School,"1 Huskie Circle, Machesney Park, IL 61115"
6533,Saint Xavier University at Evergreen Park,"2800 W. 95th Street, Evergreen Park, IL 60805"
6534,Saint Xavier University at Barrington,"616 W. Main, Barrington, IL 60010"
6535,Saint Xavier University at Carol Stream,"251 Butterfield, Carol Stream, IL 60030"
6536,Sant Xavier University at Oak Lawn,"9400 Southwest Highway, Oaklawn, IL 60453"
6537,Saint Xavier University at Gurnee,"1115 N Hunt Club Road, Gurnee, IL 60031"
6538,Saint Xavier University at Park Ridge,"111 South Dee Road, Park Ridge, IL 60068"
6539,Saint Xavier University at Vernon Hills,"145 Lakeview Parkway, Vernon Hills, IL 60061"
6540,Saint Xavier University at Rockton,"11801 Old River Road, Rockton, IL 61072"
6541,Saint Xavier University at Algonquin,"1200 South McHenry Road, Crystal Lake, IL 60014"
6542,Saint Xavier University at Huntley,"10910 Reed Road, Lake in the Hills, IL 60156"
6543,Saint Xavier University at LaSalle,"541 Chartres Street, LaSalle, IL 61301"
6544,Saint Xavier University at Normal,"501 S. Parkside Road, Normal, IL 61760"
6545,Saint Xavier University at Oak Brook,"2801 York Road, Oak Brook, IL 60523"
6546,Saint Xavier University at Peoria,"1913 Townline Road, Peoria, IL 61615"
6547,Saint Xavier University at Peoria 48,"6301 N. University, Peoria, IL 61614"
6548,Saint Xavier University at Rock Falls,"1701 12th Avenue, Rock Falls, IL 61071"
6549,Saint Xavier University at Rockford 01,"3525 Spring Creek Road, Rockford, IL 61107"
6550,Saint Xavier University at St. Charles 58,"1200 Dunham Road, St. Charles, IL 60174"
6551,Saint Xavier University at Yorkville,"797 Game Farm Road, Yorkville, IL 60560"
6552,Saint Xavier University at McHenry,"1012 N. Green Street, McHenry, IL 60050"
6553,Saint Xavier University at Manlius,"2125 North Street, Manlius, IL 61338"
